,open,high,low,close,adjclose,volume,ticker,adjclose_1,true_adjclose_1,profitBuy,profitSell
2016-11-01,39.608001708984375,39.70000076293945,37.62200164794922,38.15800094604492,38.15800094604492,35300000,TSLA,38.80124,37.604000091552734,0.0,-0.6432380676269531
2016-11-03,37.79999923706055,38.29399871826172,37.40800094604492,37.48400115966797,37.48400115966797,13265000,TSLA,37.175938,38.11199951171875,-0.3080635070800781,0.0
2016-11-14,37.599998474121094,37.650001525878906,35.63800048828125,36.290000915527344,36.290000915527344,32761000,TSLA,36.593346,36.75400161743164,0.3033447265625,0.0
2016-11-18,38.130001068115234,38.599998474121094,37.0,37.00400161743164,37.00400161743164,26051500,TSLA,37.70923,36.90399932861328,0.0,-0.7052268981933594
2016-11-22,37.167999267578125,38.29399871826172,36.742000579833984,38.23400115966797,38.23400115966797,28017000,TSLA,37.69687,38.62799835205078,-0.5371322631835938,0.0
2016-11-28,39.09600067138672,39.869998931884766,38.90999984741211,39.2239990234375,39.2239990234375,22646000,TSLA,39.858624,37.91400146484375,0.0,-0.6346244812011719
2016-12-09,38.17399978637695,38.768001556396484,38.1619987487793,38.43600082397461,38.43600082397461,13612500,TSLA,38.96527,38.486000061035156,0.5292701721191406,0.0
2016-12-21,41.689998626708984,42.44599914550781,41.481998443603516,41.540000915527344,41.540000915527344,26038000,TSLA,42.015762,41.689998626708984,0.47576141357421875,0.0
2016-12-30,43.2599983215332,43.5,42.33599853515625,42.737998962402344,42.737998962402344,23213000,TSLA,43.218548,43.39799880981446,0.4805488586425781,0.0
2017-01-03,42.97200012207031,44.066001892089844,42.19200134277344,43.39799880981445,43.39799880981445,29616500,TSLA,42.85353,45.39799880981445,-0.5444679260253906,0.0
2017-01-19,49.45000076293945,49.736000061035156,48.150001525878906,48.75199890136719,48.75199890136719,38661500,TSLA,48.77283,48.945999145507805,0.020832061767578125,0.0
2017-01-20,49.09199905395508,49.20000076293945,48.60200119018555,48.94599914550781,48.94599914550781,21021500,TSLA,49.319603,49.784000396728516,0.37360382080078125,0.0
2017-01-31,49.847999572753906,51.178001403808594,49.540000915527344,50.38600158691406,50.38600158691406,20580500,TSLA,49.83722,49.847999572753906,0.0,0.5487823486328125
2017-02-01,50.61000061035156,50.63999938964844,49.810001373291016,49.847999572753906,49.847999572753906,19794000,TSLA,49.8079,50.31000137329102,-0.04010009765625,0.0
2017-02-02,49.667999267578125,50.48400115966797,49.54199981689453,50.310001373291016,50.310001373291016,12499000,TSLA,49.77761,50.26599884033203,0.0,0.5323905944824219
2017-02-10,53.95800018310547,54.189998626708984,53.22200012207031,53.84600067138672,53.84600067138672,18098500,TSLA,54.306858,56.119998931884766,0.4608573913574219,0.0
2017-02-13,54.14799880981445,56.15800094604492,54.10200119018555,56.119998931884766,56.119998931884766,35148000,TSLA,55.440956,56.19599914550781,-0.6790428161621094,0.0
2017-03-03,50.14799880981445,50.380001068115234,49.79999923706055,50.31399917602539,50.31399917602539,14597000,TSLA,50.143208,50.242000579833984,0.0,0.1707916259765625
2017-03-10,49.242000579833984,49.29999923706055,48.599998474121094,48.737998962402344,48.737998962402344,15331500,TSLA,48.397625,49.23400115966797,-0.3403739929199219,0.0
2017-03-17,52.79999923706055,53.066001892089844,52.2400016784668,52.29999923706055,52.29999923706055,32487500,TSLA,53.31421,52.38399887084961,1.0142097473144531,0.0
2017-03-20,52.119998931884766,52.90999984741211,51.763999938964844,52.38399887084961,52.38399887084961,18071500,TSLA,53.062115,50.13600158691406,0.0,-0.6781158447265625
2017-03-21,52.566001892089844,52.959999084472656,50.04800033569336,50.13600158691406,50.13600158691406,34543000,TSLA,51.749775,51.00199890136719,1.6137733459472656,0.0
2017-03-23,51.077999114990234,51.534000396728516,50.65999984741211,50.95600128173828,50.95600128173828,16601000,TSLA,50.399727,52.63199996948242,-0.5562744140625,0.0
2017-03-27,52.119998931884766,54.11399841308594,51.95000076293945,54.04399871826172,54.04399871826172,31154000,TSLA,52.775616,55.4900016784668,-1.2683830261230469,0.0
